# Demo MCQ bank, read by com.lms.seed.SeedCatalog.
# course code | question | correct answer | wrong answer | wrong answer | wrong answer
# Six questions per course: quiz N uses questions 2N-1 and 2N. Options are shuffled when seeded.

AI-308|BERT is pre-trained using|Masked language modelling|Image classification|Reinforcement learning only|Clustering
AI-401|An MDP is defined by states, actions, transitions and|Rewards|Pixels|Layers|Tokens
AI-401|Q-learning learns the value of|State-action pairs|Images|Words|Clusters
AI-401|The exploration-exploitation trade-off is often handled with|Epsilon-greedy selection|Batch normalisation|Stop-word removal|Max pooling
AI-401|The discount factor gamma controls|The importance of future rewards|The learning rate|Batch size|Network depth
AI-401|DQN combines Q-learning with|Deep neural networks|Decision trees|Genetic algorithms|K-means
AI-401|The Bellman equation expresses a value in terms of|Immediate reward and future values|Only past rewards|The dataset size|The number of actions
AI-403|Forward kinematics computes|End-effector position from joint angles|Joint angles from a target position|Battery life|Sensor noise
AI-403|A LiDAR sensor measures|Distance using laser light|Temperature|Sound frequency|Humidity
AI-403|ROS stands for|Robot Operating System|Remote Operation Server|Robotic Output Signal|Real-time Object Sensor
AI-403|A PID controller combines proportional, integral and|Derivative terms|Random terms|Logarithmic terms|Constant terms only
AI-403|A degree of freedom is|An independent way a robot can move|A type of battery|A sensor type|A programming language
AI-403|The A* algorithm is used in robotics for|Path planning|Motor cooling|Image compression|Speech synthesis
AI-402|GAN stands for|Generative Adversarial Network|Generalised Attention Network|Graph Analysis Node|Gradient Averaging Network
AI-402|In a GAN, the discriminator tries to|Distinguish real data from generated data|Generate images|Compress data|Label clusters
AI-402|Large language models are mainly based on the|Transformer architecture|Decision tree|K-means|Support vector machine
AI-402|Providing a few examples inside a prompt is called|Few-shot prompting|Fine-tuning|Pre-training|Distillation
AI-402|A confident but false statement produced by an LLM is called a|Hallucination|Gradient|Token|Embedding
AI-402|LoRA is a technique for|Parameter-efficient fine-tuning|Data labelling|Image compression|Tokenisation
AI-404|Genetic algorithms are inspired by|Natural selection|Human memory|Planetary motion|Chemical bonding
AI-404|Crossover in a genetic algorithm|Combines parts of two parent solutions|Deletes the population|Sorts the solutions|Computes gradients
AI-404|Mutation is used to|Maintain diversity in the population|Stop the algorithm|Evaluate fitness|Select parents deterministically
AI-404|Particle swarm optimisation is inspired by|Flocking of birds|Growth of crystals|Ocean waves|Neurons
AI-404|The fitness function|Measures the quality of a solution|Creates the initial population|Mutates solutions|Stores results
AI-404|NSGA-II is used for|Multi-objective optimisation|Image recognition|Database indexing|Text translation

CS-601|Amortised analysis gives the|Average cost per operation over a worst-case sequence|Best-case cost|Cost of one operation only|Memory usage
CS-601|The Ford-Fulkerson method computes|Maximum flow|Minimum spanning trees|Shortest paths only|Sorted order
CS-601|A randomised quicksort has expected running time|O(n log n)|O(n^2)|O(n)|O(log n)
CS-601|An approximation ratio of 2 means the solution is at most|Twice the optimal|Half the optimal|Equal to the optimal|Ten times the optimal
CS-601|The Master theorem solves recurrences of the form|T(n) = aT(n/b) + f(n)|T(n) = T(n-1) + 1 only|T(n) = n!|T(n) = 2^n
CS-601|Bipartite matching can be reduced to|Maximum flow|Sorting|Hashing|Binary search
CS-603|A microkernel moves most OS services into|User space|Hardware|The BIOS|The compiler
CS-603|Lamport clocks provide|A logical ordering of events|Physical time synchronisation|Memory allocation|File compression
CS-603|A type-1 hypervisor runs|Directly on the hardware|On top of a host OS|Inside a browser|Inside a container
CS-603|Distributed shared memory gives processes|The illusion of a single shared address space|Faster disks|More CPUs|Encrypted files
CS-603|The Byzantine generals problem concerns|Reaching agreement despite faulty nodes|Scheduling threads|Paging memory|Rendering graphics
CS-603|Copy-on-write delays copying memory until|A process writes to it|The process starts|The system reboots|The disk is full
CS-605|Pipelining improves|Instruction throughput|Single-instruction latency|Disk capacity|Screen resolution
CS-605|A data hazard occurs when|An instruction depends on the result of a previous one|Two programs share a disk|The cache is empty|The clock stops
CS-605|Cache performance is improved by exploiting|Locality of reference|Random access patterns|Larger fonts|Slower memory
CS-605|GPUs are optimised for|Massively parallel throughput|Single-thread latency only|Disk storage|Network routing
CS-605|Branch prediction reduces|Control hazards|Cache size|Power supply|Instruction set size
CS-605|In a multiprocessor, cache coherence ensures|All caches see a consistent value of shared data|Caches are always empty|Only one CPU runs at a time|Memory is never shared
CS-607|A literature review helps a researcher to|Identify gaps in existing work|Avoid reading papers|Collect salaries|Write code faster
CS-607|A hypothesis is|A testable prediction|A final conclusion|A list of references|A research grant
CS-607|Qualitative research typically uses|Interviews and observations|Only numerical experiments|Only simulations|Compilers
CS-607|A sample that represents the population well is called|Representative|Biased|Random noise|Skewed
CS-607|The HEC plagiarism policy requires theses to be checked with|Turnitin|Excel|Photoshop|GitHub
CS-607|The independent variable in an experiment is the one that is|Manipulated by the researcher|Measured as the outcome|Held constant|Ignored
CS-602|A language is decidable if a Turing machine|Halts on every input with the right answer|Accepts only finite strings|Never halts|Uses a stack
CS-602|To show a problem is NP-hard we reduce|A known NP-hard problem to it|It to a problem in P|It to sorting|It to regular expressions
CS-602|SAT was the first problem proven NP-complete by|Cook and Levin|Turing|Dijkstra|Knuth
CS-602|The class P contains problems solvable in|Polynomial time|Exponential time only|Constant time only|Logarithmic space only
CS-602|Rice's theorem states that non-trivial semantic properties of programs are|Undecidable|Decidable|Regular|In P
CS-602|PSPACE contains problems solvable using|Polynomial space|Constant time|Linear time only|No memory
CS-604|The CAP theorem involves consistency, availability and|Partition tolerance|Performance|Portability|Privacy
CS-604|Paxos and Raft are|Consensus algorithms|Sorting algorithms|Encryption schemes|File systems
CS-604|Eventual consistency guarantees that replicas|Converge if no new updates are made|Are always identical|Never synchronise|Are read-only
CS-604|RPC stands for|Remote Procedure Call|Rapid Packet Control|Replicated Process Cluster|Reliable Protocol Channel
CS-604|A vector clock is used to|Capture causality between events|Measure CPU speed|Encrypt messages|Balance load
CS-604|Two-phase commit ensures|Atomic commitment across multiple nodes|Faster reads|Compression|Load balancing
CS-606|A query optimiser chooses the|Most efficient execution plan|Database password|Table names|Backup schedule
CS-606|MongoDB is an example of a|Document database|Relational database|Graph drawing tool|Spreadsheet
CS-606|A star schema is used in|Data warehouses|Operating systems|Compilers|Networks
CS-606|Horizontal fragmentation splits a table by|Rows|Columns|Indexes|Users
CS-606|OLAP systems are designed for|Analytical queries|High-volume transaction entry|Web page styling|File compression
CS-606|A B+ tree index keeps all records in its|Leaf nodes|Root node only|Internal nodes only|Separate log file
AI-651|Kernel methods allow linear algorithms to learn|Non-linear decision boundaries|Only linear functions|Without data|Only images
AI-651|Gradient boosting builds models|Sequentially, each correcting previous errors|In parallel without interaction|Using only one tree|Without a loss function
AI-651|The EM algorithm is used for|Estimating parameters with latent variables|Sorting data|Encrypting models|Image resizing
AI-651|An autoencoder learns|A compressed representation of the input|Class labels directly|A sorting order|A database index
AI-651|The bias-variance trade-off describes|The balance between underfitting and overfitting|CPU versus GPU cost|Precision versus recall only|Batch size versus epochs
AI-651|A Gaussian process defines a distribution over|Functions|Images only|Words|Graphs only
CS-703|Software-defined networking separates the|Control plane from the data plane|Hardware from electricity|Users from applications|IP from Ethernet
CS-703|OpenFlow is a protocol used in|SDN|Email|DNS|Wi-Fi authentication
CS-703|Network throughput is measured in|Bits per second|Seconds|Hops|Packets per hop
CS-703|A fat-tree topology is common in|Data centre networks|Bluetooth networks|Satellite links|Telephone exchanges
CS-703|QUIC runs on top of|UDP|TCP|ICMP|ARP
CS-703|Network function virtualisation runs network functions on|Commodity servers|Dedicated ASICs only|Mobile phones|Printers
CS-705|Diffie-Hellman is used for|Key exchange|Hashing|Compression|Routing
CS-705|An IDS that detects deviations from normal behaviour is|Anomaly-based|Signature-based|Firewall-based|Host-only
CS-705|A zero-day vulnerability is|Unknown to the vendor with no patch available|Fixed on day zero|Harmless|A type of firewall
CS-705|TLS provides|Secure communication over a network|File compression|Faster DNS|Load balancing
CS-705|Static malware analysis examines a sample|Without executing it|Only while it runs|Only on paper|By deleting it
CS-705|A side-channel attack exploits|Physical leakage such as timing or power|Weak passwords only|Social media posts|Open ports only
AI-751|Structure from motion reconstructs|3D structure from multiple 2D images|Text from speech|Audio from images|Graphs from tables
AI-751|Mask R-CNN performs|Instance segmentation|Speech recognition|Machine translation|Clustering only
AI-751|Vision transformers split an image into|Patches|Sentences|Audio frames|Colour channels only
AI-751|Epipolar geometry relates|Two views of the same scene|Two different datasets|Text and images|Two neural networks
AI-751|Semantic segmentation assigns|A class label to every pixel|A single label to the image|A bounding box only|A caption
AI-751|Contrastive learning trains models by|Pulling similar pairs together and pushing others apart|Sorting images|Reducing image size|Adding labels manually
CS-704|Serverless computing bills users for|Actual execution time|Idle servers|Fixed monthly hardware|Number of developers
CS-704|Kubernetes is used for|Container orchestration|Word processing|Image editing|Compiling C code
CS-704|Live migration moves a running VM|Between hosts with minimal downtime|To a USB drive|Into a container|To a printer
CS-704|Autoscaling adjusts resources based on|Workload demand|Programming language|Developer count|Screen size
CS-704|A service mesh manages|Communication between microservices|Physical cables|Database schemas|User interfaces
CS-704|Multi-tenancy means|Many customers share the same infrastructure|One customer per data centre|No isolation at all|A single user system
CS-706|Practical Byzantine Fault Tolerance tolerates up to|f faulty nodes out of 3f + 1|Half of all nodes|All nodes|No faulty nodes
CS-706|Layer-2 solutions such as rollups aim to improve|Scalability|Colour depth|Disk capacity|Screen resolution
CS-706|The DAO attack exploited a|Re-entrancy bug in a smart contract|Weak Wi-Fi password|Hardware fault|DNS error
CS-706|Proof of Stake selects validators based on|The amount of cryptocurrency staked|Computational power|Random IP addresses|Account age only
CS-706|Sharding improves blockchain scalability by|Splitting the network into partitions|Increasing block time|Removing consensus|Storing data offline
CS-706|A permissioned blockchain|Restricts who can participate|Is open to anyone|Has no nodes|Cannot store data
AI-752|Pre-trained language models are adapted to tasks by|Fine-tuning|Deleting layers|Random guessing|Compiling
AI-752|BLEU is a metric for evaluating|Machine translation|Image segmentation|Clustering|Speech loudness
AI-752|Information extraction converts|Unstructured text into structured data|Images to audio|Tables to images|Code to text
AI-752|Retrieval-augmented generation combines a language model with|A document retriever|A graphics card|A compiler|A spreadsheet
AI-752|The attention weights in a transformer indicate|How much each token attends to others|The size of the vocabulary|The learning rate|The number of layers
AI-752|Byte-pair encoding is a method of|Subword tokenisation|Image compression|Encryption|Sorting
